video_id,summary,category,color_composition,keywords,creator_demographic,political_leaning,misinformation_indicators,sentiment,tone,hateful_content,hateful_explanation,hateful_target,hateful_severity,graphic_content,threatening_content,illicit_content,self_harm
7328941581862473006,"The video features a stealth fighter jet positioned on an aircraft carrier. As the jet's engines ignite, it takes off and engages in aerial maneuvers, leaving contrails in the sky. The setting includes dramatic skies with clouds and sunlight enhancing the jet's silhouette. A green figure, likely a crew member, is seen near the jet. The scene progresses with the jet performing a series of agile movements and firing missiles with visible muzzle flashes and debris from the firing action. The video concludes with a neon-text title card against a dark background, announcing 'SPEED is LIFE by Lykia' and 'OUT NOW on all platforms!', indicating excitement and anticipation.",Autos & Vehicles,Aesthetically Pleasing,"fighter jet, aircraft carrier, takeoff, contrails, missiles, green figure, aircraft carrier, aircraft carrier, military, sky, aircraft carrier, cloudy sky, fighter jet, missile launch, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aircraft carrier, aviation, flight, air, sky, cloud, weather, wind, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot, pilot",,Neutral,None,Positive,Enthusiastic,No,NA,NA,NA,Yes,No,No,No
7371030140370963713,"A humorous video showcasing a character stuck in a wall glitch and players' confused interactions in a chaotic 'Overwatch' game setting. Players are trying to communicate and resolve the issue with lighthearted frustration, leading to various eliminations and a 'Kill Cam' sequence.",Gaming,Colorful,"Overwatch, wall rides, communication issues, eliminations, 'Kill Cam', humor, confused players",,NA,NA,Neutral,Enthusiastic,No,NA,NA,NA,No,No,No,No
7295860137162591519,"The video features a person discussing the topics of genocide, indigenous rights, and the abuse of power in a society. The speaker contrasts historical atrocities committed against indigenous people with present-day situations, emphasizing the importance of holding powerful individuals and institutions accountable. The individual acknowledges that these grievances can lead to mankind's greatest evils and warns against justifying harmful actions with claims of righteousness.","News, Politics",Aesthetically Pleasing,"genocide, indigenous people, colonizers, power imbalance, accountability, righteousness, evils, unaliving of children",,Center,None,Negative,Melancholic,No,NA,NA,NA,No,No,No,No
7372987016914455841,"In the video, a cricket match between Pakistan and England is taking place at a packed stadium. An invader, dressed in civilian clothing, runs onto the field holding a green and black flag, which appears to be the national flag of Palestine. This unexpected intrusion causes a disruption as the umpire and security rush to attend to the situation. The invader is eventually apprehended and escorted off the field, with the match briefly pausing. The crowd, consisting of various nationalities, is a mix of concerned and amused expressions.",Sports,Naturalistic,"PAK vs ENG, 25/05/24, Free, security, invader, match disruption",,Neutral,None,Neutral,Cheerful,No,NA,NA,NA,No,No,No,No
7407540452611640606,"The video shows a person in a blue shirt simulating an immigration officer interacting with someone applying to return to the US. The actor is serious and formal, conducting a rigorous process from checking a passport to asking detailed questions about the travel to India and ensuring the person did not bring back any prohibited items such as plants, produce, or spices. The person ends by instructing where to find the baggage claim and saying, 'Next.'",Entertainment & Shows,Aesthetically Pleasing,"immigration officer, passport, interview, return to the US, India, prohibited items",,Neutral,None,Neutral,Sarcastic,No,NA,NA,NA,No,No,No,No
7334130841016274222,"The video displays a black sports car in a parking lot, indicating that its driver cannot park forward and humorously suggests an inability to reverse park. The background features trees and structures. Text on the screen reinforces the humorous theme about the driver's lack of reverse parking skills.",Autos & Vehicles,Naturalistic,"['car', 'reverse park', 'driving', 'humor']",,Neutral,None,Neutral,Sarcastic,No,NA,NA,NA,No,No,No,No
7366561209996332320,"In the video, the speaker is expressing their anger and disgust towards Kim Kardashian and the media's handling of a protester interrupting her interview. The speaker criticizes Kim Kardashian’s reaction and moral perspective, stating that people involved should be considered depraved. They also reference videos they have seen of children from Palestine being massacred, expressing anger about the depravity of the world. The tone is intense and frustrated.",People & Blogs,Naturalistic,"Kim Kardashian, pro-Palestinian protester, Germany, interviews, anger, depravity, global events, ethical concerns, media portrayal, moral values",,Neutral,None,Negative,Anger,No,NA,NA,NA,No,No,No,No
7357827492289465646,"The video features a person expressing their frustration with the inconvenience of having to eat, particularly highlighting the challenges posed by ADHD. The speaker contemplates the idea of not eating at all and critiques the complexity and effort involved in even basic food-related tasks. They question societal norms and the lack of awareness of ADHD-related struggles surrounding feeding oneself. The speaker ends by emphasizing their decision to not engage in these activities anymore.",People & Blogs,Naturalistic,"eating, ADHD, convenience, society, frustration, self-care, life challenges",,Center,None,Negative,Frustrated,No,NA,NA,NA,No,No,No,No
7343754603927850245,"The video features a person in a dark sweater speaking and gesturing emphatically with their hands. The backdrop is a large graphic with the text 'FREE PALESTINE' and depicts a scene with a raised fist and a Palestinian flag, along with imagery of a dome-like building and people. Throughout the video, the person transitions through various gestures, including pointing, counting on their fingers, crossing their arms, and giving a thumbs-up. The setting suggests a strong emphasis on the depicted message, likely focusing on supporting the Palestinian cause. The speaker appears to be addressing viewers directly, encouraging or informing them about actions related to the depicted cause.",Nonprofits & Activism,High Contrast,"Free Palestine, Palestinian flag, raised fist, Dome, solidarity, activism",,Center,None,Positive,Enthusiastic,No,NA,NA,NA,No,No,No,No
7380389929790033185,"The video shows a dance between two characters, one in dark armor with a blue cape and the other in a white dress, with a caption indicating a difference in how the interaction is perceived. The characters perform an elegant dance, with close-up shots highlighting their expressions and movements.",Entertainment & Shows,Aesthetically Pleasing,"dance, characters, perception, difference",,Neutral,None,Positive,Cheerful,No,NA,NA,NA,No,No,No,No
7325461211653492010,"A person discusses their recently done braids, expressing a bit of dissatisfaction with the size but overall satisfaction with the outcome. The person showcases their braids, mentioning they are of African descent and wanted Alicia Keys-style braids done by their aunt. They express some frustration due to their small head size and are seeking validation that their braids don't look as bad as they feel.",Beauty Care,Naturalistic,"braids, Alicia Keys, small head size, validation",,Neutral,None,Negative,Frustrated,No,NA,NA,NA,No,No,No,No
7342750088902511915,"A person in black athletic wear is taking a selfie in a public restroom. They are moving slightly, adjusting themselves, and talking. The voice-over includes lyrics with explicit content. No political or news-related information is present.","Outfit, Style, & Howto",Naturalistic,"athletic wear, selfie, bathroom, lyrics",,NA,NA,NA,Neutral,No,NA,NA,NA,No,No,No,No
7363604482355137799,,,,,,,,,,,,,,,,,
7363144949442825518,"The video features a young woman with long blonde hair discussing why finding a girlfriend is difficult, as she believes others perceive her as unfriendly. However, she clarifies that she is actually trying to flirt. The tone of the video is casual and personal, addressing common misconceptions about her approach to finding a romantic partner.",People & Blogs,Naturalistic,"girlfriend, unfriendly, flirt, humor, personal",,Neutral,None,Neutral,Casual,No,NA,NA,NA,No,No,No,No
7375972216707484960,"A man in a white shirt stands in front of a flipchart with red and white panels, discussing the Labour Party's policies under Keir Starmer's leadership. The video lists the first steps for change, such as delivering economic stability, cutting NHS waiting times, and launching a new Border Security Command. The man appears to be explaining these points to the audience.","News, Politics",High Contrast,"Labour, Keir Starmer, politics, policy, UK, economics, NHS, Security, Command, Teachers, Great British Energy",,Left,None,Neutral,Neutral,No,NA,NA,NA,No,No,No,No
7366736772253977889,"The video narrates the story of Tuvalu, a small country in the Pacific Ocean facing existential threats due to rising sea levels caused by climate change. By the end of the century, Tuvalu may completely submerge. The sea level has risen significantly in the last 30 years. If Tuvalu vanishes, its people will likely flee, and the country may lose its statehood and access to its exclusive economic zone. To address this, Tuvalu's government is working on becoming the world's first digital nation by issuing digital passports and transferring its activities to the cloud. The country recently amended its constitution, stating that Tuvalu will exist in perpetuity and its maritime borders will remain even if its land disappears. However, this has been recognized by only 12 countries so far. Tuvalu may become the first nation to lose its country status due to climate change, as the traditional criteria for a country's sovereignty and permanent population are challenged.","News, Politics",High Contrast,"Tuvalu, climate change, digital nation, constitutional amendment, exclusive economic zone, statehood, environmental activism, international law, Pacific Ocean, coral islands, rising sea levels",,Neutral,None,Negative,Fear,No,NA,NA,NA,No,No,No,No
7349900395843472672,"The video features an undercover reporter from 'Wahl' conducting interviews on the streets. The reporter, dressed in formal attire, speaks with various individuals about a special operation in Ukraine and their experiences. There are visible crowds and flags, indicating a public or protest setting. The reporter also mentions previous military service and experiences fighting in Chechnya.",News,Naturalistic,"Undercover, Putin, Wahl, special operation, Ukraine, Chechnya, military service",,Neutral,None,Neutral,Intense,No,NA,NA,NA,No,No,No,No
7302484543691328810,"The video is a static image announcing an Emergency Relief Distribution on October 12th, 2023, by Pious Projects. It features a slogan 'Stop the killing stop the hate. Time to Donate,' appealing for donations to address issues of violence and hatred, possibly in connection with political or social conflicts. The tone is serious and urgent. There is no visible imagery or footage other than the text and logo. The creator, Pious Projects, appears to be a nonprofit focused on humanitarian aid.",Nonprofits & Activism,Monochrome,"Emergency Relief Distribution, October 12th, 2023, Pious Projects, Stop the killing, Stop the hate,Time to Donate",,Neutral,None,Neutral,Serious,No,NA,NA,NA,No,No,No,No
7339991555408694561,"This video showcases the 'top 5 best-selling eye care products in dm' from the health and beauty department, with a person presenting and emphasizing the best-selling items one by one. The video features close-ups of various Balea eye care products available in the store, providing a detailed view of each item and its packaging. The person highlights the price and key features of each product while being situated in a well-lit store setting with neatly organized shelves filled with beauty and health products.",Beauty Care,Bright,"Balea, eye care products, best-selling, healthy, beautiful, moisturizing, anti-wrinkle, hydrating, serums, creams, roll-ons, price",,Neutral,None,Positive,Cheerful,No,NA,NA,NA,No,No,No,No
7326597898358066465,"The video humorously showcases personal devices with cat faces instead of human heads. Text in French indicates people use these with a cat that doesn't listen to them. The frames display images of cats with smartphones, one with a human face, the other with a cat's face. The video is lighthearted and humorous.",Entertainment & Shows,Colorful,"appels, clochard, téléphone, chat, humorous",,Neutral,None,Neutral,Sarcastic,No,NA,NA,NA,No,No,No,No
7291005324717313313,"The video discusses the rise of the Alternative for Germany party in Germany and its potential impact on dual nationality and citizenship laws. The person speaking highlights the recent electoral successes of AfD in regional elections and discusses the possibility of the AfD's influence on the citizenship law draft. They explain the political landscape, mentioning the coalition government's majority in the Bundestag and the Bundesrat's inability to block the draft law due to its drafting method. The topic of expedited German passport processing is also addressed. Throughout, the speakers provide updates and insights on these political developments.","News, Politics",Aesthetically Pleasing,"AfD, Germany, dual nationality, citizenship, Bundestag, Bundesrat",,Neutral,None,Neutral,Serious,No,NA,NA,NA,No,No,No,No
