uri,text,Ines_label,Ines_categories,Ines_reason,adash_label,adash_categories,adash_reason,bluesky_labels,bluesky_flagged,image_1,image_2,image_3,image_4,video
at://did:plc:4cgrxzsjvivgyvk5kqjtq7ry/app.bsky.feed.post/3loicn4bkuk2d,I am against any type of violence or discrimination. But i am NOT going to support ANY member of the Jew community who shows support of symphaty for the Israel  State.,Safe,,safe,Unsafe,S6,Political opinion. Singling out Jew community is the problem.,,No,,,,,
at://did:plc:4rwh3mq6q7hg2px5rgqhrjkd/app.bsky.feed.post/3m6lg5tn6s22a,"""You won't need food when you're BURNING IN HELL! Don't forget..God loves you...""",Unsafe,S6,hate against christians,Safe,,It seems like criticism but does not seem to violate the guidelines.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/ii/bafkreiaknuh4ibb4ue7lv6zcqsvw34eohknzqr7ud3wof4a5qrmkglmiii.jpeg,,,,
at://did:plc:en2viimzc3gydsljf42jbm5j/app.bsky.feed.post/3maa5wkd3tk2m,"I remember when there was a mass shooting and a POTUS would try to comfort the country, not say shit like ""things happen"" like a fucking sociopath.",Safe,,safe,Unsafe,S8,"This is a criticism, but it has gone a bit above the threshold calling the POTUS as a sociopath.",,No,,,,,
at://did:plc:hd6lprpb5h5otlaaouv55g6a/app.bsky.feed.post/3m2iopns5bs2t,"African and Asian societies tend to be far less socially atomized, and in some cases have far greater capacity for organized violence.",Safe,,opinion,Unsafe,S6,"While it is measured, it essentially points at two ethnic groups for being more capable of organized violence.",,No,,,,,
at://did:plc:jv2tkjbd5gtui3px2me3zav5/app.bsky.feed.post/3mb7gnmignk2f,"Möge ihnen auch das Hirn abfrieren, aber warte 🤔.
Wo nichts ist was soll da abfrieren.
Mein Fehler 😇",Safe,,kinda insulting but not really,Unsafe,"S6,S8",Seems hateful and rude.,,No,,,,,
at://did:plc:pm6vyse7fu2laibh3x7drqic/app.bsky.feed.post/3lzqslzlhr22n,youtube.com/shorts/jHODb...,Safe,,link to youtube video but no details,Unsafe,S6,The text seems to be very intolerant saying Republicans hate women -- seems like a very biased thing to be directed toward people of a particular political ideology.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/le/bafkreiahlfdwhp36hifnm7r4jskadhkfkzn4d35zolnan2ta6k6qkr2lle.jpeg,,,,
at://did:plc:py4n2l5nwyrg6hj7ncgtzq7h/app.bsky.feed.post/3lvjckrubvc2b,🥚🥚👃🍆😮🍑✊👅🍆✊💦🦶🐽,Safe,,could be sexually suggestive but no context,Unsafe,"S2,S3",Seems like emojis which are potentially used in sexual context.,,No,,,,,
at://did:plc:ylg3i5gmtn66cvcghmbnxhyl/app.bsky.feed.post/3lqxvptrwhk23,"A phoenix of smoke emerges from shattered lands...

This was such a fun design commission! I'm pretty happy with how it turned out!",Unsafe,S3,sexual figurative,Safe,,The image seems benign.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/ku/bafkreigcmziwvdyevcsgznyza7vooook5ndmp4q6kwa7twbfdyyic7thku.jpeg,,,,
at://did:plc:ywtkmgjtbti2c6kpnlf6i27s/app.bsky.feed.post/3lzye2aowgs2u,,Unsafe,S2,sexually suggestive,Safe,,Not violating any of the NSFW guidelines yet. Close but not enough.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/yq/bafkreig5k3x5n4tup73rqvbvin2c5ckok3vzl6opk4xb3nyhroy2w25yyq.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/hm/bafkreifao5kxsdawydqvtnhtyptxhysmur55dweh2ctxlol3fxgncikxhm.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/je/bafkreihl3obvi2mk5visdhug5mu5dzovgs53iwzri2k4qjt2evey4folje.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/4q/bafkreihlyof3ggrl2j2r6bro54ljz2spayofy2zr3zry7ewjpjp2svqe4q.jpeg,
at://did:plc:zhpagecdvqbddu6pjf2f4m4g/app.bsky.feed.post/3lu7hfgj7ac2f,Turns you into an 🍊 turd nazi!,Safe,,no context to who its directed,Unsafe,S8,Seems like a comment to something from Trump.,,No,,,,,
