annotator_name,post_id,display_num,label,reason,time_spent_sec,timestamp,attribution_source,unsafe_categories
Ines,at://did:plc:3uogztpu7svvebkixxsxo4or/app.bsky.feed.post/3lf2ekctaak2u,1,Safe,Space facts,20.9,2026-05-04T17:40:29.754Z,Text|Image,
Ines,at://did:plc:t4zncqs63tjdbq3jxgbxr2tg/app.bsky.feed.post/3lsb7azyrvc2b,2,Unsafe,Crude language,58.4,2026-05-04T17:41:35.044Z,Text,S8
Ines,at://did:plc:vrsppvjc5fysqnm2zshiirey/app.bsky.feed.post/3m2jpiprtxo2t,3,Safe,About quantum,46.3,2026-05-04T17:42:17.947Z,Text|Image,
Ines,at://did:plc:jthdldfrulfwvpdrh3yinb77/app.bsky.feed.post/3maqvjbgzx22x,4,Unsafe,Exposed male gentialia with provicative text,85.3,2026-05-04T17:43:39.897Z,Text|Image,"S2,S1"
Ines,at://did:plc:eq2nerqmmfx6vekd3bf6mfr5/app.bsky.feed.post/3lnbo6q367c2n,5,Safe,Comment about a serie,38.7,2026-05-04T17:44:18.932Z,Text,
Ines,at://did:plc:iu5zdi6cbfvnhyjq5sdx3xuw/app.bsky.feed.post/3m2njlucees2u,6,Safe,Comment about politics,53,2026-05-04T17:45:14.346Z,Text,
Ines,at://did:plc:tgtpkyrfdtlfsn24ohstptpv/app.bsky.feed.post/3ln3cz3hrea2b,7,Safe,Promotion of a film,78.9,2026-05-04T17:46:30.068Z,Text|Image,
Ines,at://did:plc:wfukwqu6ghc3ijroxc472cmb/app.bsky.feed.post/3lvdpmn6hlk2d,8,Safe,Sorry with no context,108.2,2026-05-04T17:48:18.409Z,Text,
Ines,at://did:plc:uh4errluyq5thgszrwwrtpuq/app.bsky.feed.post/3llrk5kb5hk24,9,Safe,Europian parliment update,26,2026-05-04T17:48:44.541Z,Text|Image,
Ines,at://did:plc:ei6yabn4tmyms43niq3m2gks/app.bsky.feed.post/3lmlbuem5f22m,10,Safe,Comment with no context,58.2,2026-05-04T17:49:46.038Z,Text,
Ines,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3l5oijxewc22e,11,Safe,Proposal about electric vehicles,34.3,2026-05-04T17:50:16.856Z,Text|Image,
Ines,at://did:plc:jqku4sdjwk47lsmzpytkyq4q/app.bsky.feed.post/3lvj2f5hd4k2b,12,Safe,Comment with no context,38.7,2026-05-04T17:50:57.235Z,Text,
Ines,at://did:plc:ifj7mufkcmbrhkgm4m4btpyx/app.bsky.feed.post/3m4sqc7j6xc2e,13,Safe,Comment about a desk,34.9,2026-05-04T17:51:30.739Z,Text,
Ines,at://did:plc:fdinne66nqyg6quzalnt724j/app.bsky.feed.post/3lni2z3rx2c2x,14,Unsafe,Exposed male gentalia,26,2026-05-04T17:51:56.836Z,Image,S2
Ines,at://did:plc:xavfbr6hrhhdueo5m37jiucs/app.bsky.feed.post/3lvljp3qlqc2o,15,Safe,The image suggests self harm but its just humour,28.4,2026-05-05T07:50:15.134Z,Image,
Ines,at://did:plc:g4lttqbi4wdol6k2aocdkand/app.bsky.feed.post/3m2v4rxlpnc2u,16,Safe,No context,29.6,2026-05-05T07:50:46.260Z,Text,
Ines,at://did:plc:2zxjutk5jsdri4crs35xpnzw/app.bsky.feed.post/3lox6s3gfe224,17,Safe,Comment abiut delivery people,44.7,2026-05-05T07:51:29.689Z,Text,
Ines,at://did:plc:mgwrki6irihfcatu2v347soc/app.bsky.feed.post/3mfpp42g2uk2x,18,Safe,Medical post about envology,29.1,2026-05-05T07:51:58.309Z,Text|Image,
Ines,at://did:plc:k3f2lo7bpznm6sels376oqmg/app.bsky.feed.post/3lshqf335kk26,19,Safe,Use of the word bitch just a way of speaking rather then insulting someone specifically,59.4,2026-05-05T07:52:57.877Z,Text,
Ines,at://did:plc:ujstglmdsoymx3t2yffcvgtm/app.bsky.feed.post/3l3ucyfz7sk2i,20,Safe,Machine learning comment,37.4,2026-05-05T07:53:35.271Z,Text,
Ines,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3lbqxkyyibk2h,21,Safe,Womens rights,42.9,2026-05-05T07:54:16.585Z,Text|Image,
Ines,at://did:plc:h7dupmheuhggygi4ehzayklj/app.bsky.feed.post/3m4xw3q5eic24,22,Safe,Comment with no context,38,2026-05-05T07:54:58.006Z,Text,
Ines,at://did:plc:vovinwhtulbsx4mwfw26r5ni/app.bsky.feed.post/3ldmfchooxy23,23,Safe,Football update,29.7,2026-05-05T07:55:25.810Z,Text|Image,
Ines,at://did:plc:hpgqhlefvmw5sx4jz4i54a4u/app.bsky.feed.post/3lpuevkckqk2q,24,Safe,Thanks for support,46.9,2026-05-05T07:56:12.848Z,Text,
Ines,at://did:plc:mmghldfjsx3lrijjj6x7t7bb/app.bsky.feed.post/3lx2d4npf5k2q,25,Safe,Comment with no context,51,2026-05-05T07:57:05.486Z,Text,
Ines,at://did:plc:rlyfjshh5pc3jpi2gxaing3m/app.bsky.feed.post/3lnl5pa4r6k2l,26,Unsafe,The post is about selling products but the products are sexually figurative and provocative,90.9,2026-05-05T07:58:36.829Z,Image,S3
Ines,at://did:plc:54hlsvz7wuzswjxl4m7r7adw/app.bsky.feed.post/3lyfuuugsj22g,27,Safe,Comment with no context,41.6,2026-05-05T07:59:18.452Z,Text,
Ines,at://did:plc:univ47kzorwxjih3lqzrnwmv/app.bsky.feed.post/3lqrecerszc2a,28,Safe,Health,53.6,2026-05-05T08:00:07.901Z,Text|Image,
Ines,at://did:plc:univ47kzorwxjih3lqzrnwmv/app.bsky.feed.post/3mdfwbgpnxs2x,29,Safe,Vaccination,33.7,2026-05-05T08:00:45.274Z,Text|Image,
Ines,at://did:plc:nnz7jjbessyav7fsen4t2ltd/app.bsky.feed.post/3lo6wyu6gvc2t,30,Unsafe,Exposed male gentalia with  the text being invite to read erotic story,76.7,2026-05-05T08:02:02.028Z,Text|Image,S1
Ines,at://did:plc:jwyvn6m7daklc3xyx5pt7w2p/app.bsky.feed.post/3m3mb7xlb6k2f,31,Unsafe,Sexually suggestive posing,67.5,2026-05-05T08:03:09.594Z,Video,S2
Ines,at://did:plc:7b6u6kvzyxho5aqhvzbgemjc/app.bsky.feed.post/3lwuqad7c222b,32,Unsafe,Crude language against a specific person,72.9,2026-05-05T08:04:21.721Z,Text,S8
Ines,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3lmcfntazdc2t,33,Safe,Some sort of collab,44.4,2026-05-05T08:05:06.754Z,Text,
Ines,at://did:plc:2oow4uik7eoze4cg5qyrtci5/app.bsky.feed.post/3lo4nul75g22x,34,Safe,Nude drawing type of art and not sexually suggestive,86.8,2026-05-05T08:06:30.441Z,Text|Image,
Ines,at://did:plc:n4f6iu5ucivfswg6ustvbqob/app.bsky.feed.post/3lquwwu63f22z,35,Safe,Opinion about someone,48.9,2026-05-05T08:07:19.975Z,Text,
Ines,at://did:plc:n5hzvm4vr5lku2qa2hldefsg/app.bsky.feed.post/3lz3hy3csuc26,36,Unsafe,Exposed male gentalia,63.1,2026-05-05T08:08:22.531Z,Image,S5
Ines,at://did:plc:lp7xhwc6a4di46oq53ntyxqy/app.bsky.feed.post/3lsb7g5ynjs2w,37,Unsafe,Insultng language,165.4,2026-05-05T08:11:11.178Z,Text,S8
